Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount,Amount_numeric,Tag,Reason,Environmental_Subgroup,Combined_Tag,Fix_Applied,UserFix_Applied,Clinical_Subcategory,Mechanistic_Subcategory
Amyotrophic Lateral Sclerosis (ALS),10814382,2024,NINDS,5R01NS116143-04,,Defining the Mechanisms and Consequences of Nuclear Defects in ALS/FTD,"FALLINI, CLAUDIA",UNIVERSITY OF RHODE ISLAND,RI,367997,367997.0,Mechanistic_Pathogenesis,Studies mechanisms and consequences of nuclear defects in ALS/FTD,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10817088,2024,NINDS,5R01NS104022-07,,Expanding the Chemical Diversity of Therapeutic Oligonucleotides,"KHVOROVA, ANASTASIA",UNIV OF MASSACHUSETTS MED SCH WORCESTER,MA,667550,667550.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10817770,2024,NIA,5R21AG082005-02,,The tRNA pool in C9-ALS/FTD,"HOU, YA-MING",THOMAS JEFFERSON UNIVERSITY,PA,195455,195455.0,Mechanistic_Pathogenesis,Studies tRNA pool molecular biology in C9-ALS/FTD,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10817786,2024,NIA,5R01NS121125-04,,"Frontotemporal dementia and related disorders: transcriptomic profiling, biomarker discovery, and mechanistic insight","VAN BLITTERSWIJK, MARKA",MAYO CLINIC  JACKSONVILLE,FL,780935,780935.0,Mechanistic_Pathogenesis,Title mentions mechanistic insight; transcriptomic profiling for mechanisms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10818543,2024,NIA,5R01NS099280-07,,Hexanucleotide repeat translation in ALS and Frontotemporal Dementia,"TODD, PETER",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,121958,121958.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10818543,2024,NINDS,5R01NS099280-07,,Hexanucleotide repeat translation in ALS and Frontotemporal Dementia,"TODD, PETER",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,548838,548838.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10822574,2024,NIA,1R43AG085837-01,,Cell-based RNA degradation assay for C9ALS/FTD drug discovery,"O'HANLON, RYAN","LUCERNA, INC.",NY,392116,392116.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10824326,2024,NINDS,5R01NS117583-05,,Defining Immune Cell Heterogeneity in Human ALS and Mouse Model of the Disease,"PRZEDBORSKI, SERGE",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,432521,432521.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10824396,2024,NIA,5R01NS118183-05,,Integrating Spatial Multi-omics and Clinical Covariates to Identify Mechanisms of Disease in ALS-FTD,"PHATNANI, HEMALI",NEW YORK GENOME CENTER,NY,131473,131473.0,Mechanistic_Pathogenesis,Studies mechanisms of disease in ALS-FTD,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10824396,2024,NINDS,5R01NS118183-05,,Integrating Spatial Multi-omics and Clinical Covariates to Identify Mechanisms of Disease in ALS-FTD,"PHATNANI, HEMALI",NEW YORK GENOME CENTER,NY,619804,619804.0,Mechanistic_Pathogenesis,Studies mechanisms of disease in ALS-FTD,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10825103,2024,NIA,1F32AG086044-01,,Dissecting neuroinflammatory mechanisms in a model of progressive TDP-43 pathology,"O'CONNOR, JAMES",WASHINGTON UNIVERSITY,MO,73828,73828.0,Mechanistic_Pathogenesis,Studies neuroinflammatory mechanisms in TDP-43 pathology,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10825952,2024,NINDS,1F31NS135955-01,,Assessing the Contribution of Cortical Hyperactivity to ALS Phenotypes in a Human-Derived Motor System,"PIO, TAYLOR",EMORY UNIVERSITY,GA,48974,48974.0,Mechanistic_Pathogenesis,Studies contribution of cortical hyperactivity to ALS phenotypes (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10826483,2024,NIA,1R01AG087877-01A1,,Environmental risk factors linked to TDP-43 proteinopathies,"COHEN, TODD",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,772621,772621.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10828319,2024,NINDS,5R01NS122973-04,,Role of FABP7 in ALS models,"VARGAS, MARCELO",UNIVERSITY OF WISCONSIN-MADISON,WI,370627,370627.0,Mechanistic_Pathogenesis,Studies role of FABP7 in ALS models (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10828725,2024,NIA,5R01NS112503-06,,Determining stathmin-2 function and potential as a therapeutic target in ALS/FTD,"CLEVELAND, DON","UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,139471,139471.0,Mechanistic_Pathogenesis,Studies stathmin-2 function as therapeutic target (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10828725,2024,NINDS,5R01NS112503-06,,Determining stathmin-2 function and potential as a therapeutic target in ALS/FTD,"CLEVELAND, DON","UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,699703,699703.0,Mechanistic_Pathogenesis,Studies stathmin-2 function as therapeutic target (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10828738,2024,NINDS,5R01NS097542-09,,RNA decay in amyotrophic lateral sclerosis and frontotemporal lobar degeneration,"BARMADA, SAMI",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,373555,373555.0,Mechanistic_Pathogenesis,Studies RNA decay mechanisms in ALS/FTLD,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10829479,2024,NINDS,5K23NS131586-02,,Metabolic Alteration in Presymptomatic and Symptomatic ALS Study (MAPS ALS Study),"LEE, IKJAE",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,229635,229635.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10830389,2024,NIA,5R01NS131433-02,,LEGENNDS: Linking Epidemiology and GEnetics of Neurodevelopmental and Neurodegenerative Disorders Study,"LEE, BRIAN",DREXEL UNIVERSITY,PA,139683,139683.0,Strictly_Genetic,Mentions genes/variants/genome without mechanistic terms or exposures,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10830389,2024,NINDS,5R01NS131433-02,,LEGENNDS: Linking Epidemiology and GEnetics of Neurodevelopmental and Neurodegenerative Disorders Study,"LEE, BRIAN",DREXEL UNIVERSITY,PA,501714,501714.0,Strictly_Genetic,Mentions genes/variants/genome without mechanistic terms or exposures,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10830459,2024,NIA,5R01AG013730-23,,Compromised LDH activity causes motor deficits and hastens ALS progression,"MILBRANDT, JEFFREY",WASHINGTON UNIVERSITY,MO,648261,648261.0,Mechanistic_Pathogenesis,Studies how LDH activity causes motor deficits (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10830915,2024,NINDS,5R01NS118145-04,,Protein Arginine Deiminase 2 (PAD2) and Protein Citrullination in ALS,"XU, ZUOSHANG",UNIV OF MASSACHUSETTS MED SCH WORCESTER,MA,473033,473033.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10831043,2024,NIA,5R01AG074609-04,,Evaluation of a novel NLK function in lysosome biogenesis and neurodegenerative diseases,"LIM, JANGHOO",YALE UNIVERSITY,CT,808198,808198.0,Mechanistic_Pathogenesis,Studies novel NLK FUNCTION in lysosome biogenesis (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10832023,2024,NIA,5F31NS127371-03,,Determining the Mechanism of RAN Translation in C9orf72-Associated ALS/FTD,"MILLER, SHANNON",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,42458,42458.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10832691,2024,NINDS,5R01NS127858-02,,Using mitochondrial Ca2+ uptake as a therapeutic target for ALS,"WEI-LAPIERRE, LAN",UNIVERSITY OF FLORIDA,FL,433968,433968.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10833041,2024,NINDS,5R01NS118247-05,,Multimeric Peptide Copolymer Formulations for Targeted Drug Delivery to Treat Nervous System Disorders,"SELLERS, DREW",UNIVERSITY OF WASHINGTON,WA,354462,354462.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10834824,2024,NINDS,5R01NS122908-04,,RAD23 Control of ALS phenotypes,"KALB, ROBERT",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,388000,388000.0,Mechanistic_Pathogenesis,Studies RAD23 control of ALS phenotypes (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10835959,2024,NIA,5R01NS131816-02,,Excitability dysfunction mechanisms underlying the TDP43-dependent ALS and FTD pathogenesis,"ELBASIOUNY, SHERIF",WRIGHT STATE UNIVERSITY,OH,110925,110925.0,Mechanistic_Pathogenesis,Studies excitability dysfunction MECHANISMS (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10835959,2024,NINDS,5R01NS131816-02,,Excitability dysfunction mechanisms underlying the TDP43-dependent ALS and FTD pathogenesis,"ELBASIOUNY, SHERIF",WRIGHT STATE UNIVERSITY,OH,522926,522926.0,Mechanistic_Pathogenesis,Studies excitability dysfunction MECHANISMS (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10836585,2024,NINDS,5R01NS107479-07,,Targeting the EphA4 in motor neuron disease: a structure-based approach,"PELLECCHIA, MAURIZIO",UNIVERSITY OF CALIFORNIA RIVERSIDE,CA,382801,382801.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10837028,2024,NIDCD,5F32DC020896-02,,From Speech Function to Communicative Participation in Dysarthria,"HAENSSLER, ABIGAIL",MGH INSTITUTE OF HEALTH PROFESSIONS,MA,76528,76528.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10837701,2024,NINDS,5R01NS121793-03,,Animal testing of RNA aptamers as ALS drug candidate,"NIU, LI",STATE UNIVERSITY OF NEW YORK AT ALBANY,NY,354385,354385.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10838506,2024,NIA,5R01AG078948-03,,Regulation mechanism and functional genomics of LINE1 RNA in TDP-43 linked neurodegeneration,"SUN, SHUYING",JOHNS HOPKINS UNIVERSITY,MD,831149,831149.0,Mechanistic_Pathogenesis,Studies regulation MECHANISM and functional genomics (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10839856,2024,NINDS,5R21NS132576-02,,Targeting Blood-CNS-Barrier in ALS via Apolipoprotein A1,"GARBUZOVA-DAVIS, SVITLANA",UNIVERSITY OF SOUTH FLORIDA,FL,187500,187500.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10840833,2024,NINDS,5R01NS102414-08,,Polyalanine Tails: A Novel Type of Protein Modification Implicated in  Neurodegeneration,"BURGESS, ROBERT",JACKSON LABORATORY,ME,717158,717158.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10840851,2024,RMAP,5U19NS132303-02,7777,Resource Core II: In Vivo Core,"VAN LAAR, VICTOR",OHIO STATE UNIVERSITY,OH,503215,503215.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10840865,2024,RMAP,5U19NS132303-02,7780,Research Project II: AAV-CRISPR to Treat Amyotrophic Lateral Sclerosis,"CLELLAND, CLAIRE","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,567041,567041.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Mechanistic_and_Genetic,Moved from Everything_else (matched: CRISPR),,,
Amyotrophic Lateral Sclerosis (ALS),10840885,2024,NINDS,5R01NS129902-02,,Molecular Phenotyping of Cortical Cell Types in ALS-Related Neurodegeneration,"SCHMIDT, ERIC",ROCKEFELLER UNIVERSITY,NY,411038,411038.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10840945,2024,NIA,5R01NS128494-03,,Molecular Basis of Pathogenic Cascades in ALS/FTD Initiated from C9orf72 Hexanucleotide Repeat Expansion,"WANG, JIOU",JOHNS HOPKINS UNIVERSITY,MD,107244,107244.0,Mechanistic_Pathogenesis,Studies molecular basis of pathogenic cascades,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10840945,2024,NINDS,5R01NS128494-03,,Molecular Basis of Pathogenic Cascades in ALS/FTD Initiated from C9orf72 Hexanucleotide Repeat Expansion,"WANG, JIOU",JOHNS HOPKINS UNIVERSITY,MD,505576,505576.0,Mechanistic_Pathogenesis,Studies molecular basis of pathogenic cascades,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10841005,2024,NIGMS,5R35GM118136-09,,Regulation of mRNA processing: Mechanisms and Consequences,"MANLEY, JAMES",COLUMBIA UNIV NEW YORK MORNINGSIDE,NY,794318,794318.0,Mechanistic_Pathogenesis,Studies regulation of mRNA processing mechanisms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10841522,2024,NIA,5R01AG068247-05,,Cell-type-specific toxicity of C9orf72 repeat expansions in FTD and ALS,"JIANG, JIE",EMORY UNIVERSITY,GA,390000,390000.0,Mechanistic_Pathogenesis,Studies cell-type-specific toxicity mechanisms of C9orf72,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10841529,2024,NIA,5R01NS089616-10,,Investigating the role of C9orf72 in autophagic and metabolic dysregulation in ALS/FTD,"WANG, JIOU",JOHNS HOPKINS UNIVERSITY,MD,99308,99308.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10841529,2024,NINDS,5R01NS089616-10,,Investigating the role of C9orf72 in autophagic and metabolic dysregulation in ALS/FTD,"WANG, JIOU",JOHNS HOPKINS UNIVERSITY,MD,468173,468173.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10842316,2024,NINDS,5R35NS132179-02,,Nuclear and Glial Dysfunction in Neurodegeneration,"ROTHSTEIN, JEFFREY",JOHNS HOPKINS UNIVERSITY,MD,1191282,1191282.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10843271,2024,NINDS,5K08NS121519-03,,TDP43 Degradation by the Lysosomal Proteases in Amyotrophic Lateral Sclerosis,"SAMPOGNARO, PAUL","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,224370,224370.0,Mechanistic_Pathogenesis,Studies TDP43 degradation by lysosomal proteases (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10843745,2024,NIA,5R01NS122236-04,,Nuclear pore complex quality control in ALS/FTD,"ROTHSTEIN, JEFFREY",JOHNS HOPKINS UNIVERSITY,MD,135165,135165.0,Mechanistic_Pathogenesis,Studies nuclear pore complex quality control mechanisms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10843745,2024,NINDS,5R01NS122236-04,,Nuclear pore complex quality control in ALS/FTD,"ROTHSTEIN, JEFFREY",JOHNS HOPKINS UNIVERSITY,MD,637210,637210.0,Mechanistic_Pathogenesis,Studies nuclear pore complex quality control mechanisms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10845288,2024,NINDS,5R00NS116122-04,,Brainwide Computations Underlying Future Action Plans,"MACHADO, TIMOTHY",UNIVERSITY OF PENNSYLVANIA,PA,241529,241529.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10845698,2024,NIA,5R01AG066729-04,,TDP-43 in Alzheimer's disease,"LIACHKO, NICOLE",SEATTLE INST FOR BIOMEDICAL/CLINICAL RES,WA,530161,530161.0,Mechanistic_Pathogenesis,Studies TDP-43 role in Alzheimer's disease (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10846819,2024,NIGMS,5R01GM099836-12,,Defining mechanisms of AAA+ disaggregases,"SHORTER, JAMES",UNIVERSITY OF PENNSYLVANIA,PA,341407,341407.0,Mechanistic_Pathogenesis,Studies mechanisms of AAA+ disaggregases,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10849584,2024,NINDS,1R16NS140311-01,,Behavioral and Molecular Alterations in Drosophila with Modulated IK2/TBK1 Gene Expressions,"HE, FANG",TEXAS A&M UNIVERSITY-KINGSVILLE,TX,135660,135660.0,Mechanistic_Pathogenesis,Studies molecular alterations in Drosophila model (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10849733,2024,NCATS,5UH3TR003264-05,,A microphysiologic multicellular organ-on-chip to inform clinical trials in FTD/ALS,"SVENDSEN, CLIVE",CEDARS-SINAI MEDICAL CENTER,CA,697574,697574.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Everything_else,,Moved from Mechanistic to Everything_else,,
Amyotrophic Lateral Sclerosis (ALS),10850554,2024,NIA,5P01NS084974-10,5472,Admin Core,"PETRUCELLI, LEONARD",MAYO CLINIC  JACKSONVILLE,FL,350826,350826.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10850556,2024,NIA,5P01NS084974-10,5473,Core B,"OSKARSSON, BJORN",MAYO CLINIC  JACKSONVILLE,FL,511433,511433.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10850557,2024,NIA,5P01NS084974-10,5474,Core C,"GENDRON, TANIA",MAYO CLINIC  JACKSONVILLE,FL,189250,189250.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10850559,2024,NIA,5P01NS084974-10,5475,Core D,"PETRUCELLI, LEONARD",MAYO CLINIC  JACKSONVILLE,FL,231749,231749.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10850560,2024,NIA,5P01NS084974-10,5476,Project 1,"FRYER, JOHN",MAYO CLINIC  JACKSONVILLE,FL,422549,422549.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10850561,2024,NIA,5P01NS084974-10,5477,Project 2,"PETRUCELLI, LEONARD",MAYO CLINIC  JACKSONVILLE,FL,450312,450312.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10850562,2024,NIA,5P01NS084974-10,5478,Project 3,"PETRUCELLI, LEONARD",MAYO CLINIC  JACKSONVILLE,FL,425116,425116.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10852235,2024,NIA,1R01AG086251-01,,Preservation of muscle function through Schwann cell regulation of motor unit expansion,"BROOKS, SUSAN",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,572203,572203.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10857144,2024,NIA,5F31AG079622-02,,Multispectral Imaging of Neurons and Astrocytes: Revealing Spatiotemporal Organelle Phenotypes in Health and Neurodegeneration,"RHOADS, SHANNON",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,40418,40418.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10857233,2024,NIGMS,5R01GM114564-08,,"Analysis of mRNP granule clearance, vacuolar RNA decay and TDP-43 turnover","BUCHAN, JOHN",UNIVERSITY OF ARIZONA,AZ,310873,310873.0,Mechanistic_Pathogenesis,Studies mRNP granule clearance and TDP-43 turnover mechanisms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10857286,2024,NIA,5F30AG072786-04,,A novel mouse model of TDP-43 Proteinopathy in FTLD-ALS: Elucidating the role of TDP-43 acetylation in neurodegeneration and proteostasis impairment,"NECARSULMER, JULIE",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,42430,42430.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10861828,2024,NIDCD,5R01DC019648-03,,A taxonomic articulation-focused approach to dysarthria classification,"MEFFERD, ANTJE",VANDERBILT UNIVERSITY MEDICAL CENTER,TN,546958,546958.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10861879,2024,NIDCD,5U01DC017844-05,,"Intuitive, complete neural control of tablet computers for communication","HOCHBERG, LEIGH",BROWN UNIVERSITY,RI,1,1.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10863865,2024,NINDS,5R01NS122907-04,,Role of Ataxin-2 polyglutamine expansion on TDP-43 transport and post-transcriptional RNA regulation in neurons,"GOPAL, PALLAVI",YALE UNIVERSITY,CT,405978,405978.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10863868,2024,NINDS,5R01NS122350-04,,Pathological signatures of CHCHD10 dysfunction in ADRDs,"KANG, DAVID",CASE WESTERN RESERVE UNIVERSITY,OH,390425,390425.0,Mechanistic_Pathogenesis,Studies pathological signatures of CHCHD10 dysfunction (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10864987,2024,NIA,5R01AG078788-03,,Feedback amplification between Retrotransposons/endogenous retroviruses and TDP-43 in Alzheimers related dementias,"DUBNAU, JOSHUA",STATE UNIVERSITY NEW YORK STONY BROOK,NY,779069,779069.0,Mechanistic_Pathogenesis,Studies feedback amplification between retrotransposons and TDP-43 (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10865070,2024,NIA,5U01AG072577-04,,Circular RNAs and their interactions with RNA-binding proteins to modulate AD-related neuropathology,"ZHANG, XIAOLING",BOSTON UNIVERSITY MEDICAL CAMPUS,MA,610029,610029.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10866549,2024,NIA,5R01NS123538-04,,RNA-based regulation of TDP-43 nuclear export in ALS/FTD,"HAYES, LINDSEY",JOHNS HOPKINS UNIVERSITY,MD,79431,79431.0,Mechanistic_Pathogenesis,Studies RNA-based regulation of TDP-43 nuclear export (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10866549,2024,NINDS,5R01NS123538-04,,RNA-based regulation of TDP-43 nuclear export in ALS/FTD,"HAYES, LINDSEY",JOHNS HOPKINS UNIVERSITY,MD,374455,374455.0,Mechanistic_Pathogenesis,Studies RNA-based regulation of TDP-43 nuclear export (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10866604,2024,NINDS,5R01NS117604-05,,Modulating an Astrocyte Hemichannel to Delay Spatial and Temporal Progression in ALS.,"MARAGAKIS, NICHOLAS",JOHNS HOPKINS UNIVERSITY,MD,373268,373268.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10868497,2024,NIA,5R01NS131660-02,,Investigation of UBQLN2 in neuronal dysfunction and ALS-FTD,"WHITELEY, ALEXANDRA",UNIVERSITY OF COLORADO,CO,101603,101603.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10868497,2024,NINDS,5R01NS131660-02,,Investigation of UBQLN2 in neuronal dysfunction and ALS-FTD,"WHITELEY, ALEXANDRA",UNIVERSITY OF COLORADO,CO,478990,478990.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10870001,2024,RMAP,5R01NS127188-04,,"Developing novel strategies for personalized treatment and prevention of ALS: Leveraging the global exposome, genome, epigenome, metabolome, and inflammasome with data science in a case/control cohort","FELDMAN, EVA",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,719029,719029.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10870876,2024,NINDS,1R01NS137290-01,,Multiplexed Quantification of the Protein Poly-ADP-Ribosylation Landscape in C9ORF72-ALS/FTD,"YU, YONGHAO",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,755606,755606.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10872228,2024,NINDS,5K08NS118123-06,,Mechanisms of disruption of axon transport of autophagic vesicles and lysosomes in C9orf72 ALS,"BERTH, SARAH",BAYLOR COLLEGE OF MEDICINE,TX,230927,230927.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
